epoch,time,train/Loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/Loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
37,178.808,0.49639,0.71479,0.30145,0.34904,0.27232,1.25813,0.00107956,0.000359854,0.00107956,0.000359854,0.00107956,0.000359854,0.00107956,0.000359854
38,183.436,0.50401,0.73414,0.31495,0.34904,0.28072,1.25635,0.00107788,0.000359295,0.00107788,0.000359295,0.00107788,0.000359295,0.00107788,0.000359295
39,188.269,0.45024,0.75724,0.36667,0.3657,0.28261,1.20521,0.00107621,0.000358735,0.00107621,0.000358735,0.00107621,0.000358735,0.00107621,0.000358735
40,193.187,0.41998,0.74955,0.36667,0.35384,0.28386,1.1914,0.00107453,0.000358176,0.00107453,0.000358176,0.00107453,0.000358176,0.00107453,0.000358176
41,198.12,0.34413,0.74328,0.36667,0.35498,0.27774,1.20581,0.00107285,0.000357616,0.00107285,0.000357616,0.00107285,0.000357616,0.00107285,0.000357616
42,203.143,0.49544,0.73879,0.36667,0.3731,0.27638,1.21342,0.00107117,0.000357057,0.00107117,0.000357057,0.00107117,0.000357057,0.00107117,0.000357057
43,207.863,0.47163,0.74241,0.36667,0.36107,0.26684,1.23209,0.00106949,0.000356497,0.00106949,0.000356497,0.00106949,0.000356497,0.00106949,0.000356497
44,212.677,0.40767,0.74438,0.36667,0.35884,0.27313,1.2146,0.00106781,0.000355937,0.00106781,0.000355937,0.00106781,0.000355937,0.00106781,0.000355937
45,216.837,0.35285,0.74155,0.36667,0.35914,0.27595,1.20929,0.00106613,0.000355378,0.00106613,0.000355378,0.00106613,0.000355378,0.00106613,0.000355378
46,221.059,0.46874,0.73992,0.36667,0.35326,0.26819,1.23949,0.00106445,0.000354818,0.00106445,0.000354818,0.00106445,0.000354818,0.00106445,0.000354818
47,225.657,0.41432,0.74423,0.36667,0.38493,0.30176,1.21416,0.00106278,0.000354259,0.00106278,0.000354259,0.00106278,0.000354259,0.00106278,0.000354259
48,230.582,0.44253,0.73465,0.36667,0.38483,0.30071,1.18247,0.0010611,0.000353699,0.0010611,0.000353699,0.0010611,0.000353699,0.0010611,0.000353699
49,235.252,0.38369,0.74234,0.36667,0.38385,0.30086,1.17554,0.00105942,0.000353139,0.00105942,0.000353139,0.00105942,0.000353139,0.00105942,0.000353139
50,239.835,0.42687,0.74491,0.36667,0.39111,0.30034,1.16813,0.00105774,0.00035258,0.00105774,0.00035258,0.00105774,0.00035258,0.00105774,0.00035258
51,244.687,0.31609,0.74515,0.36667,0.3918,0.29984,1.1945,0.00105606,0.00035202,0.00105606,0.00035202,0.00105606,0.00035202,0.00105606,0.00035202
52,249.378,0.41279,0.74773,0.36667,0.38192,0.30176,1.21205,0.00105438,0.000351461,0.00105438,0.000351461,0.00105438,0.000351461,0.00105438,0.000351461
53,254.721,0.37403,0.75176,0.36667,0.38112,0.301,1.2176,0.0010527,0.000350901,0.0010527,0.000350901,0.0010527,0.000350901,0.0010527,0.000350901
54,259.332,0.3255,0.75811,0.36667,0.3807,0.30131,1.21023,0.00105102,0.000350341,0.00105102,0.000350341,0.00105102,0.000350341,0.00105102,0.000350341
55,264.063,0.29051,0.75684,0.36394,0.37813,0.30141,1.21406,0.00104935,0.000349782,0.00104935,0.000349782,0.00104935,0.000349782,0.00104935,0.000349782
56,268.441,0.36991,0.74964,0.35743,0.3765,0.29948,1.21582,0.00104767,0.000349222,0.00104767,0.000349222,0.00104767,0.000349222,0.00104767,0.000349222
57,272.869,0.34939,0.74647,0.35686,0.37495,0.30113,1.23699,0.00104599,0.000348663,0.00104599,0.000348663,0.00104599,0.000348663,0.00104599,0.000348663
58,277.22,0.34311,0.74014,0.36214,0.37786,0.2989,1.2127,0.00104431,0.000348103,0.00104431,0.000348103,0.00104431,0.000348103,0.00104431,0.000348103
