epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,42.3556,1.05806,0.78587,0.0051,0.55815,0.06429,0.05131,0.0301,1.99896,4.1683,0.02532,0.000307891,0.000307891,0.000307891
43,43.3524,0.98304,0.72133,0.00524,0.56891,0.06429,0.06622,0.03856,1.96183,4.49519,0.02181,0.000300156,0.000300156,0.000300156
44,44.4407,1.0345,0.74383,0.00645,0.53549,0.09286,0.04911,0.03535,1.92107,4.39564,0.02141,0.000292422,0.000292422,0.000292422
45,45.4441,1.07642,0.78101,0.00567,0.52747,0.06429,0.03779,0.02977,1.83168,4.32425,0.02002,0.000284688,0.000284688,0.000284688
46,46.475,0.96318,0.76456,0.00651,0.53815,0.09286,0.0444,0.03641,1.64386,4.52845,0.01806,0.000276953,0.000276953,0.000276953
47,47.4761,1.04912,0.73163,0.00559,0.54633,0.09286,0.04526,0.0351,1.56297,4.4673,0.01621,0.000269219,0.000269219,0.000269219
48,48.52,1.0084,0.75623,0.00604,0.71193,0.09286,0.04911,0.0353,1.58762,4.29532,0.01694,0.000261484,0.000261484,0.000261484
49,49.549,1.07076,0.81052,0.00812,0.70089,0.06429,0.04425,0.03283,1.69054,4.28875,0.01819,0.00025375,0.00025375,0.00025375
50,50.5457,0.99236,0.74167,0.00607,0.69699,0.06429,0.04565,0.03814,1.74204,4.18459,0.01833,0.000246016,0.000246016,0.000246016
51,51.6699,0.8986,0.66653,0.0056,0.68672,0.09286,0.05189,0.04081,1.733,4.20608,0.01948,0.000238281,0.000238281,0.000238281
52,52.6787,0.93522,0.68569,0.00481,0.68439,0.06429,0.0443,0.03628,1.78287,4.23784,0.0216,0.000230547,0.000230547,0.000230547
53,53.6654,0.90395,0.67743,0.00459,0.68093,0.06429,0.04115,0.03207,1.85032,4.25949,0.02417,0.000222813,0.000222813,0.000222813
54,54.6686,0.8791,0.70921,0.00565,0.74082,0.06429,0.05637,0.03604,1.74689,4.15142,0.02293,0.000215078,0.000215078,0.000215078
55,55.686,0.83762,0.64898,0.00486,0.78818,0.06429,0.06874,0.03624,1.59688,4.05313,0.02046,0.000207344,0.000207344,0.000207344
56,56.6701,0.90877,0.72141,0.00515,0.78307,0.06429,0.06936,0.03678,1.54809,4.01121,0.01912,0.000199609,0.000199609,0.000199609
57,57.7246,0.96181,0.66115,0.0044,0.79245,0.06429,0.06992,0.03735,1.5354,4.03569,0.0191,0.000191875,0.000191875,0.000191875
58,58.8223,0.85578,0.69007,0.00384,0.8054,0.06429,0.06921,0.03712,1.59452,4.08618,0.01898,0.000184141,0.000184141,0.000184141
59,59.8369,0.82036,0.63137,0.00443,0.66506,0.06429,0.07,0.03715,1.5802,4.07215,0.01914,0.000176406,0.000176406,0.000176406
60,60.8305,0.86049,0.59951,0.0052,0.66154,0.06429,0.07,0.03704,1.57746,4.24506,0.01945,0.000168672,0.000168672,0.000168672
61,61.8507,0.95883,0.65726,0.00456,0.66871,0.06429,0.07,0.03813,1.54645,4.20823,0.01999,0.000160938,0.000160938,0.000160938
62,62.8801,0.84714,0.6641,0.00432,0.66902,0.06429,0.07,0.03813,1.55872,4.07988,0.0205,0.000153203,0.000153203,0.000153203
63,63.8719,0.84261,0.58676,0.00401,0.6731,0.06429,0.07154,0.04252,1.62667,3.99562,0.02085,0.000145469,0.000145469,0.000145469
64,65.0253,0.798,0.59162,0.00478,0.67573,0.06429,0.07358,0.04072,1.59896,4.1306,0.02052,0.000137734,0.000137734,0.000137734
65,66.0837,0.78286,0.58786,0.00459,0.67855,0.06429,0.07537,0.04381,1.5832,4.14999,0.02034,0.00013,0.00013,0.00013
