epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,50.8283,1.31704,0.87448,0.00637,0.77792,0.05714,0.08494,0.0392,2.08188,4.5219,0.02007,0.000307891,0.000307891,0.000307891
43,51.9714,1.30085,0.92006,0.00631,0.7279,0.12143,0.07425,0.03526,1.97347,4.57738,0.01859,0.000300156,0.000300156,0.000300156
44,53.1249,1.26269,0.87374,0.00695,0.70146,0.09286,0.08667,0.03639,1.78117,4.65012,0.01775,0.000292422,0.000292422,0.000292422
45,54.2856,1.24474,0.88092,0.00636,0.7253,0.09286,0.07797,0.04014,2.00595,4.44067,0.01915,0.000284688,0.000284688,0.000284688
46,55.4185,1.11175,0.94511,0.00749,0.7252,0.09286,0.0749,0.03738,1.85223,4.60723,0.01824,0.000276953,0.000276953,0.000276953
47,56.6678,1.18574,0.78162,0.00502,0.70376,0.06429,0.06847,0.04167,1.9898,4.61141,0.01882,0.000269219,0.000269219,0.000269219
48,57.8413,1.11619,0.83452,0.00585,0.57051,0.06429,0.06707,0.04132,2.12816,4.50221,0.01938,0.000261484,0.000261484,0.000261484
49,59.0217,1.18862,1.06739,0.00837,0.75187,0.06429,0.06753,0.04173,2.18408,4.42694,0.02009,0.00025375,0.00025375,0.00025375
50,60.1692,1.09993,0.8011,0.00526,0.56365,0.09286,0.06203,0.03597,2.24158,4.41004,0.02276,0.000246016,0.000246016,0.000246016
51,61.3155,1.08884,0.76644,0.00507,0.74826,0.09286,0.06541,0.03437,2.12106,4.58322,0.02267,0.000238281,0.000238281,0.000238281
52,62.6248,1.08855,0.8164,0.00485,0.5275,0.09286,0.0613,0.03358,2.1528,4.55726,0.02117,0.000230547,0.000230547,0.000230547
53,63.7682,1.07194,0.74833,0.00486,0.57006,0.06429,0.06857,0.03889,2.02964,4.6368,0.01994,0.000222813,0.000222813,0.000222813
54,64.9197,1.02436,0.76468,0.00585,0.58892,0.06429,0.06603,0.03787,2.01541,4.59206,0.01855,0.000215078,0.000215078,0.000215078
55,66.0404,1.00685,0.5814,0.00531,0.75305,0.06429,0.06622,0.0379,2.08146,4.51921,0.01913,0.000207344,0.000207344,0.000207344
56,67.2047,1.06443,0.93841,0.00511,0.75592,0.06429,0.06762,0.03815,2.01668,4.56107,0.01759,0.000199609,0.000199609,0.000199609
57,68.4947,1.01703,0.64665,0.00425,0.71606,0.06429,0.07864,0.03716,1.96089,4.67415,0.01703,0.000191875,0.000191875,0.000191875
58,69.9077,1.12485,0.73843,0.00441,0.78247,0.08995,0.07399,0.0322,2.02878,4.67418,0.0181,0.000184141,0.000184141,0.000184141
59,71.301,0.99531,0.72378,0.00518,0.78077,0.09286,0.0819,0.03558,2.09339,4.72611,0.01849,0.000176406,0.000176406,0.000176406
60,72.5461,1.03053,0.58502,0.00481,0.77119,0.09286,0.0819,0.03788,2.05714,4.76878,0.01859,0.000168672,0.000168672,0.000168672
61,73.7201,1.08453,0.74127,0.00414,0.76012,0.09286,0.0819,0.03513,2.09533,4.74572,0.01969,0.000160938,0.000160938,0.000160938
62,75.0262,1.05085,0.69324,0.00458,0.74477,0.09286,0.09143,0.04257,2.11782,4.80237,0.02226,0.000153203,0.000153203,0.000153203
