epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1.39594,3.93615,6.47624,0.01773,0,0,0,0,4.29804,7.48354,0.02465,0.00114,0.00038,0.00114,0.00038,0.00114,0.00038,0.00114,0.00038
2,2.25506,3.83863,6.08477,0.01376,0,0,0,0,4.27485,7.22563,0.02502,0.00113832,0.00037944,0.00113832,0.00037944,0.00113832,0.00037944,0.00113832,0.00037944
3,3.30445,4.15597,6.44378,0.01644,0,0,0,0,4.0056,7.0082,0.02406,0.00113664,0.000378881,0.00113664,0.000378881,0.00113664,0.000378881,0.00113664,0.000378881
4,4.71141,3.94408,7.00582,0.01451,0,0,0,0,4.18227,6.61037,0.02512,0.00113496,0.000378321,0.00113496,0.000378321,0.00113496,0.000378321,0.00113496,0.000378321
5,6.07521,3.58614,6.27156,0.0171,0,0,0,0,3.60804,6.48085,0.02221,0.00113328,0.000377762,0.00113328,0.000377762,0.00113328,0.000377762,0.00113328,0.000377762
6,7.41675,4.01399,5.82641,0.01258,0,0,0,0,3.64812,6.28473,0.02127,0.00113161,0.000377202,0.00113161,0.000377202,0.00113161,0.000377202,0.00113161,0.000377202
7,8.7602,3.8864,5.62238,0.01513,0,0,0,0,3.8433,6.03594,0.02043,0.00112993,0.000376642,0.00112993,0.000376642,0.00112993,0.000376642,0.00112993,0.000376642
8,10.0882,4.03862,7.19911,0.01426,0,0,0,0,3.67279,5.84286,0.01973,0.00112825,0.000376083,0.00112825,0.000376083,0.00112825,0.000376083,0.00112825,0.000376083
9,11.4364,3.73601,5.67322,0.01681,0.0027,0.04762,0.0016,0.00016,3.65355,5.77278,0.02012,0.00112657,0.000375523,0.00112657,0.000375523,0.00112657,0.000375523,0.00112657,0.000375523
10,12.7436,3.60482,5.10349,0.01316,0,0,0,0,3.50651,5.90779,0.01905,0.00112489,0.000374964,0.00112489,0.000374964,0.00112489,0.000374964,0.00112489,0.000374964
11,14.0293,4.0035,4.98146,0.01184,0.00037,0.02857,0.00011,3e-05,3.51238,6.08846,0.01988,0.00112321,0.000374404,0.00112321,0.000374404,0.00112321,0.000374404,0.00112321,0.000374404
12,15.3071,3.98648,5.03936,0.01697,0.00035,0.02857,0.00014,3e-05,3.49775,6.48192,0.01944,0.00112153,0.000373844,0.00112153,0.000373844,0.00112153,0.000373844,0.00112153,0.000373844
13,16.588,3.80763,4.67322,0.01599,0.04796,0.17143,0.07122,0.05689,3.42098,6.71937,0.01876,0.00111985,0.000373285,0.00111985,0.000373285,0.00111985,0.000373285,0.00111985,0.000373285
14,18.0082,3.73217,4.17807,0.01034,0.03603,0.17143,0.14221,0.11374,3.56274,6.27735,0.02138,0.00111818,0.000372725,0.00111818,0.000372725,0.00111818,0.000372725,0.00111818,0.000372725
15,19.3165,3.73457,5.21251,0.01377,0.0292,0.2,0.14346,0.11394,3.57752,6.12238,0.01883,0.0011165,0.000372166,0.0011165,0.000372166,0.0011165,0.000372166,0.0011165,0.000372166
16,20.6372,3.49415,4.31391,0.01664,0.07208,0.2,0.14444,0.11481,3.58679,5.93746,0.01724,0.00111482,0.000371606,0.00111482,0.000371606,0.00111482,0.000371606,0.00111482,0.000371606
17,21.9393,3.83602,4.7241,0.01497,0.0364,0.2,0.14269,0.11399,3.37402,5.39027,0.0171,0.00111314,0.000371046,0.00111314,0.000371046,0.00111314,0.000371046,0.00111314,0.000371046
18,23.1972,3.15087,4.14273,0.01234,0.00655,0.17143,0.14369,0.11425,3.46115,5.28287,0.01859,0.00111146,0.000370487,0.00111146,0.000370487,0.00111146,0.000370487,0.00111146,0.000370487
19,24.533,3.42932,3.98024,0.01367,0.01661,0.2,0.14443,0.11446,3.26449,5.32304,0.01839,0.00110978,0.000369927,0.00110978,0.000369927,0.00110978,0.000369927,0.00110978,0.000369927
20,25.8715,3.23014,4.76905,0.0134,0.02945,0.2,0.14384,0.11439,2.99501,5.10507,0.01656,0.0011081,0.000369368,0.0011081,0.000369368,0.0011081,0.000369368,0.0011081,0.000369368
21,27.1645,3.35206,4.6568,0.01292,0.0517,0.24762,0.15226,0.13162,3.00261,5.14918,0.01657,0.00110642,0.000368808,0.00110642,0.000368808,0.00110642,0.000368808,0.00110642,0.000368808
22,28.5003,3.20651,3.71095,0.01024,0.07535,0.24762,0.14777,0.12946,2.88158,5.39028,0.01522,0.00110475,0.000368248,0.00110475,0.000368248,0.00110475,0.000368248,0.00110475,0.000368248
23,29.8051,3.15009,3.40745,0.00953,0.07229,0.2,0.14369,0.09296,2.79346,5.75239,0.01268,0.00110307,0.000367689,0.00110307,0.000367689,0.00110307,0.000367689,0.00110307,0.000367689
24,31.1584,3.4204,3.90748,0.0122,0.14659,0.24762,0.15463,0.06029,2.84839,5.65576,0.01377,0.00110139,0.000367129,0.00110139,0.000367129,0.00110139,0.000367129,0.00110139,0.000367129
25,32.4175,3.15114,3.44862,0.01258,0.00474,0.10476,0.00338,0.00073,3.45523,5.94074,0.01522,0.00109971,0.00036657,0.00109971,0.00036657,0.00109971,0.00036657,0.00109971,0.00036657
26,33.673,3.23711,3.63024,0.00961,0.28869,0.02857,0.00201,0.00087,3.39946,6.23955,0.01628,0.00109803,0.00036601,0.00109803,0.00036601,0.00109803,0.00036601,0.00109803,0.00036601
27,34.9601,3.60159,3.73353,0.01378,0.72043,0.02857,0.00191,0.00129,3.43041,6.12531,0.01736,0.00109635,0.00036545,0.00109635,0.00036545,0.00109635,0.00036545,0.00109635,0.00036545
28,36.2606,2.92099,3.61746,0.00851,0.72578,0.02857,0.00345,0.00228,3.51556,5.93254,0.01785,0.00109467,0.000364891,0.00109467,0.000364891,0.00109467,0.000364891,0.00109467,0.000364891
29,37.5194,3.1459,3.61053,0.00984,0.43295,0.02857,0.00264,0.00124,3.34911,5.64498,0.01709,0.00109299,0.000364331,0.00109299,0.000364331,0.00109299,0.000364331,0.00109299,0.000364331
30,38.7514,2.96027,3.76749,0.00946,0.14438,0.02857,0.00162,0.001,3.37067,5.57207,0.01999,0.00109132,0.000363772,0.00109132,0.000363772,0.00109132,0.000363772,0.00109132,0.000363772
31,40.156,3.39175,3.58231,0.00965,0.00092,0.05714,0.00141,0.00069,3.41413,5.4964,0.01969,0.00108964,0.000363212,0.00108964,0.000363212,0.00108964,0.000363212,0.00108964,0.000363212
32,41.4505,3.45866,3.46578,0.01199,0.92411,0.02679,0.06131,0.04152,3.299,5.1512,0.01763,0.00108796,0.000362652,0.00108796,0.000362652,0.00108796,0.000362652,0.00108796,0.000362652
33,42.7265,3.19032,3.52203,0.01297,0.92136,0.02857,0.01393,0.00836,3.59958,5.00803,0.01927,0.00108628,0.000362093,0.00108628,0.000362093,0.00108628,0.000362093,0.00108628,0.000362093
34,44.0032,3.69556,3.6313,0.01216,0.92796,0.02857,0.01436,0.0084,3.35889,5.06966,0.01877,0.0010846,0.000361533,0.0010846,0.000361533,0.0010846,0.000361533,0.0010846,0.000361533
35,45.2447,2.84224,3.4589,0.00804,0.92115,0.02857,0.01444,0.00846,3.1408,5.02432,0.01656,0.00108292,0.000360974,0.00108292,0.000360974,0.00108292,0.000360974,0.00108292,0.000360974
36,46.5184,3.26131,3.68523,0.01246,0.98238,0.02857,0.02881,0.0169,3.06371,4.87856,0.01518,0.00108124,0.000360414,0.00108124,0.000360414,0.00108124,0.000360414,0.00108124,0.000360414
37,47.7951,3.0893,3.07959,0.01215,0.98397,0.02857,0.05986,0.01991,2.89164,4.79382,0.01471,0.00107956,0.000359854,0.00107956,0.000359854,0.00107956,0.000359854,0.00107956,0.000359854
38,49.088,2.9817,3.26777,0.01252,0.0392,0.34286,0.30774,0.1368,2.95151,4.70073,0.01531,0.00107788,0.000359295,0.00107788,0.000359295,0.00107788,0.000359295,0.00107788,0.000359295
39,50.482,3.2193,2.93606,0.01162,0.90427,0.05714,0.3219,0.13824,3.05386,4.81491,0.01535,0.00107621,0.000358735,0.00107621,0.000358735,0.00107621,0.000358735,0.00107621,0.000358735
40,51.8099,2.90015,3.05153,0.01126,0.97626,0.02857,0.17816,0.13206,2.86728,4.84715,0.0145,0.00107453,0.000358176,0.00107453,0.000358176,0.00107453,0.000358176,0.00107453,0.000358176
41,53.1045,2.9809,3.11805,0.01042,0.08074,0.23571,0.0881,0.07011,2.46614,5.11693,0.01267,0.00107285,0.000357616,0.00107285,0.000357616,0.00107285,0.000357616,0.00107285,0.000357616
42,54.3894,3.14081,3.54245,0.0098,0.7533,0.05714,0.02549,0.00841,2.59291,4.93255,0.01245,0.00107117,0.000357057,0.00107117,0.000357057,0.00107117,0.000357057,0.00107117,0.000357057
43,55.7073,3.34149,4.14176,0.00894,0.14522,0.05714,0.00739,0.00218,2.59825,5.1091,0.01223,0.00106949,0.000356497,0.00106949,0.000356497,0.00106949,0.000356497,0.00106949,0.000356497
44,56.9787,2.95995,3.03385,0.00773,0.00592,0.09286,0.00403,0.00219,2.49871,5.17302,0.01178,0.00106781,0.000355937,0.00106781,0.000355937,0.00106781,0.000355937,0.00106781,0.000355937
45,58.2314,3.49881,3.6798,0.01247,0.00654,0.09286,0.00414,0.00158,2.50798,5.16468,0.01226,0.00106613,0.000355378,0.00106613,0.000355378,0.00106613,0.000355378,0.00106613,0.000355378
46,59.5297,3.50874,3.28407,0.00778,0.43314,0.02857,0.01282,0.00149,2.54512,4.97421,0.01264,0.00106445,0.000354818,0.00106445,0.000354818,0.00106445,0.000354818,0.00106445,0.000354818
47,60.762,2.95636,2.96365,0.01068,0.296,0.05714,0.01116,0.00147,2.84996,5.13644,0.01447,0.00106278,0.000354259,0.00106278,0.000354259,0.00106278,0.000354259,0.00106278,0.000354259
48,62.1419,3.47092,3.26803,0.01106,0.00946,0.07619,0.01677,0.00366,2.85404,5.27976,0.01389,0.0010611,0.000353699,0.0010611,0.000353699,0.0010611,0.000353699,0.0010611,0.000353699
49,63.4642,2.86372,2.84183,0.013,0.00495,0.07619,0.01351,0.00302,2.7863,5.38305,0.0146,0.00105942,0.000353139,0.00105942,0.000353139,0.00105942,0.000353139,0.00105942,0.000353139
50,64.715,2.93219,3.00016,0.00733,0.15158,0.07619,0.01039,0.00233,2.82026,5.38337,0.01401,0.00105774,0.00035258,0.00105774,0.00035258,0.00105774,0.00035258,0.00105774,0.00035258
51,65.9882,2.6996,2.36974,0.00878,0.51784,0.07619,0.05784,0.01714,3.08353,5.47158,0.01565,0.00105606,0.00035202,0.00105606,0.00035202,0.00105606,0.00035202,0.00105606,0.00035202
52,67.2518,2.87197,3.11945,0.00838,0.38651,0.07619,0.05714,0.01607,3.12102,5.55517,0.01578,0.00105438,0.000351461,0.00105438,0.000351461,0.00105438,0.000351461,0.00105438,0.000351461
53,68.4938,2.50699,2.49601,0.00872,0.65677,0.07619,0.03321,0.01073,2.98179,5.50777,0.01513,0.0010527,0.000350901,0.0010527,0.000350901,0.0010527,0.000350901,0.0010527,0.000350901
54,69.7624,3.407,3.07211,0.00906,0.49139,0.06654,0.02524,0.01062,3.03009,5.48508,0.01429,0.00105102,0.000350341,0.00105102,0.000350341,0.00105102,0.000350341,0.00105102,0.000350341
55,71.1082,2.70546,2.79539,0.01177,0.00237,0.07619,0.00563,0.00138,3.0214,5.35454,0.01428,0.00104935,0.000349782,0.00104935,0.000349782,0.00104935,0.000349782,0.00104935,0.000349782
56,72.391,3.15738,3.0411,0.01159,0.00042,0.02857,0.0002,8e-05,2.98473,5.34197,0.0141,0.00104767,0.000349222,0.00104767,0.000349222,0.00104767,0.000349222,0.00104767,0.000349222
57,73.6665,2.8052,2.88702,0.00812,0.00043,0.02857,0.00023,7e-05,2.85169,5.42086,0.01416,0.00104599,0.000348663,0.00104599,0.000348663,0.00104599,0.000348663,0.00104599,0.000348663
