epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.38224,1.5656,6.94898,0.00742,0.20097,0.28194,0.08635,0.07268,0.89456,6.6085,0.00525,0.000625,0.000625,0.000625
2,2.48997,1.82152,6.44166,0.0074,0.17783,0.02857,0.02887,0.01614,1.56876,5.45189,0.01213,0.000617266,0.000617266,0.000617266
3,4.01462,1.9228,5.72802,0.01157,0.69369,0.02857,0.04298,0.01782,1.92061,5.59084,0.0173,0.000609531,0.000609531,0.000609531
4,5.24853,1.81233,4.79399,0.00727,0.77219,0.02857,0.02083,0.01114,2.2775,5.71754,0.02036,0.000601797,0.000601797,0.000601797
5,6.53116,1.75506,3.93489,0.00978,0.17782,0.06429,0.02287,0.00452,2.3076,5.44872,0.02131,0.000594062,0.000594062,0.000594062
6,7.65665,1.84815,3.50366,0.00947,0.37918,0.03571,0.03526,0.01869,2.77594,5.6965,0.02684,0.000586328,0.000586328,0.000586328
7,8.7775,1.69081,3.60311,0.01044,0.50503,0.03571,0.035,0.01891,2.62243,5.81918,0.02541,0.000578594,0.000578594,0.000578594
8,9.89602,1.75065,2.99188,0.01079,0.63363,0.03571,0.035,0.02127,2.49294,6.02127,0.02461,0.000570859,0.000570859,0.000570859
9,11.1647,1.49449,2.74212,0.00811,0.19853,0.03571,0.03542,0.02118,2.5409,6.04476,0.0234,0.000563125,0.000563125,0.000563125
10,12.3359,1.71962,2.95681,0.00868,0.49236,0.03571,0.02142,0.01069,2.23198,4.99757,0.02162,0.000555391,0.000555391,0.000555391
11,13.4715,1.90886,2.36623,0.01168,0.48174,0.05185,0.03872,0.01588,2.07055,4.90272,0.01884,0.000547656,0.000547656,0.000547656
12,14.7235,1.73241,2.37645,0.00894,0.0134,0.37857,0.02027,0.00993,1.84625,4.80615,0.01734,0.000539922,0.000539922,0.000539922
13,15.8666,1.63458,2.02393,0.0063,0.0102,0.10476,0.00817,0.00289,2.05568,5.10719,0.02018,0.000532187,0.000532187,0.000532187
14,16.9712,1.60313,2.05876,0.0076,0.00053,0.02857,0.00107,0.00064,1.73089,5.22477,0.02178,0.000524453,0.000524453,0.000524453
15,18.1704,1.59681,2.2933,0.00946,0.15038,0.02857,0.00357,0.00041,2.00176,5.0261,0.02296,0.000516719,0.000516719,0.000516719
16,19.3529,1.52327,2.07878,0.01211,0.0009,0.02857,0.00066,0.00013,2.18285,5.64913,0.0233,0.000508984,0.000508984,0.000508984
17,20.5281,1.56815,2.0565,0.01046,0.01828,0.23571,0.01679,0.00786,2.32917,5.82099,0.02144,0.00050125,0.00050125,0.00050125
18,21.7112,1.58507,1.78909,0.0075,0.013,0.2,0.00738,0.00364,2.27193,8.82059,0.02118,0.000493516,0.000493516,0.000493516
19,22.9654,1.59435,1.74273,0.01031,0.3293,0.09286,0.05886,0.04631,2.22361,12.0061,0.02031,0.000485781,0.000485781,0.000485781
20,24.1664,1.63197,2.1238,0.0089,0.16069,0.06429,0.04924,0.03726,2.23756,11.1919,0.03201,0.000478047,0.000478047,0.000478047
21,25.2809,1.4541,1.73924,0.00715,0.70731,0.03571,0.03794,0.02879,2.34827,5.79249,0.02755,0.000470312,0.000470312,0.000470312
22,26.4202,1.36859,1.3147,0.00505,0.84937,0.03571,0.03965,0.03243,2.13208,4.95167,0.02005,0.000462578,0.000462578,0.000462578
23,27.6354,1.44678,1.55022,0.00783,0.68571,0.03571,0.035,0.0315,1.99889,5.02336,0.01809,0.000454844,0.000454844,0.000454844
24,28.797,1.41323,1.59197,0.00605,0.64863,0.03571,0.03655,0.03003,2.19612,4.88171,0.02414,0.000447109,0.000447109,0.000447109
25,30.0323,1.50494,1.37203,0.01081,0.0451,0.03571,0.035,0.02683,2.30638,4.9962,0.0232,0.000439375,0.000439375,0.000439375
26,31.23,1.40457,1.42137,0.00786,0.2985,0.02857,0.0161,0.01056,2.37891,5.18339,0.02211,0.000431641,0.000431641,0.000431641
27,32.3596,1.40556,1.38298,0.00913,0.49533,0.0267,0.02181,0.01074,2.40827,5.09918,0.02133,0.000423906,0.000423906,0.000423906
