epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,51.295,1.18799,0.75652,0.00427,0.67759,0.06429,0.06478,0.03875,2.0675,4.7303,0.01886,0.000307891,0.000307891,0.000307891
43,52.375,1.11365,0.73242,0.00533,0.76321,0.06429,0.06856,0.04393,2.018,4.70414,0.02071,0.000300156,0.000300156,0.000300156
44,53.4729,1.05434,0.80952,0.00658,0.77858,0.06429,0.07367,0.04406,2.01752,4.66039,0.02124,0.000292422,0.000292422,0.000292422
45,54.6095,1.13234,0.81618,0.00566,0.74239,0.06429,0.08531,0.04794,1.92466,4.672,0.02001,0.000284688,0.000284688,0.000284688
46,55.7965,1.17408,0.83982,0.00499,0.54078,0.09286,0.07903,0.04359,1.94074,4.53966,0.01946,0.000276953,0.000276953,0.000276953
47,57.0358,1.05699,0.78996,0.00664,0.02153,0.12857,0.08107,0.04532,2.01176,4.60364,0.01931,0.000269219,0.000269219,0.000269219
48,58.1527,1.35428,1.06041,0.00806,0.02053,0.12857,0.03796,0.02497,1.94974,4.66881,0.01716,0.000261484,0.000261484,0.000261484
49,59.4374,1.15189,0.70834,0.00434,0.01965,0.12857,0.03505,0.02317,1.87542,4.84224,0.01529,0.00025375,0.00025375,0.00025375
50,60.5477,1.12065,0.76474,0.00464,0.02513,0.17619,0.05917,0.03913,1.8978,4.77702,0.01519,0.000246016,0.000246016,0.000246016
51,61.7071,1.24803,0.86873,0.00599,0.67043,0.09205,0.06343,0.04229,1.95327,4.60509,0.01562,0.000238281,0.000238281,0.000238281
52,62.9062,1.0016,0.62575,0.00506,0.73152,0.09286,0.08663,0.04819,1.92319,4.61713,0.01496,0.000230547,0.000230547,0.000230547
53,64.128,0.98993,0.73933,0.00542,0.75751,0.09286,0.09326,0.05199,1.8821,4.63944,0.0148,0.000222813,0.000222813,0.000222813
54,65.2702,1.09264,0.71321,0.00523,0.76722,0.09286,0.08355,0.05472,1.87545,4.62105,0.01457,0.000215078,0.000215078,0.000215078
55,66.4265,0.98226,0.6841,0.00494,0.74918,0.09286,0.08736,0.05434,1.90877,4.69573,0.01533,0.000207344,0.000207344,0.000207344
56,67.6203,0.97731,0.68398,0.00663,0.68958,0.09286,0.07214,0.04627,1.95313,4.73426,0.01542,0.000199609,0.000199609,0.000199609
57,68.842,1.17666,0.67417,0.00783,0.66615,0.07179,0.06634,0.03769,2.02139,4.56931,0.01455,0.000191875,0.000191875,0.000191875
58,69.9774,0.93145,0.75487,0.00633,0.66078,0.06676,0.07448,0.0402,2.00163,4.62088,0.0159,0.000184141,0.000184141,0.000184141
59,71.0939,1.06708,0.65724,0.0049,0.80628,0.05714,0.07458,0.03686,2.01894,4.58033,0.01728,0.000176406,0.000176406,0.000176406
60,72.2574,1.02614,0.71585,0.00547,0.78402,0.05714,0.06989,0.03414,2.01147,4.63571,0.01742,0.000168672,0.000168672,0.000168672
61,73.3901,0.88228,0.53179,0.00359,0.78396,0.05714,0.07117,0.03412,2.03159,4.6144,0.0182,0.000160938,0.000160938,0.000160938
62,74.7012,1.00813,0.60135,0.00735,0.77183,0.05714,0.07101,0.03446,2.04972,4.72467,0.01843,0.000153203,0.000153203,0.000153203
63,75.87,1.02339,0.73896,0.00618,0.80222,0.05714,0.09332,0.0555,2.09433,4.69875,0.02047,0.000145469,0.000145469,0.000145469
64,77.0037,1.0101,0.59967,0.00488,0.7705,0.05714,0.09217,0.05489,2.09877,4.61813,0.02075,0.000137734,0.000137734,0.000137734
65,78.1796,1.01478,0.69214,0.00475,0.7648,0.05714,0.09373,0.05199,2.12726,4.67141,0.02109,0.00013,0.00013,0.00013
66,79.3164,0.96892,0.51551,0.00468,0.76342,0.05714,0.09373,0.05673,2.03354,4.56856,0.01983,0.000122266,0.000122266,0.000122266
67,80.6321,0.95928,0.65389,0.00528,0.7618,0.05714,0.08658,0.05204,2.01998,4.57717,0.01987,0.000114531,0.000114531,0.000114531
68,81.7841,0.92349,0.8168,0.00708,0.72927,0.09286,0.08569,0.05231,2.03161,4.54376,0.0204,0.000106797,0.000106797,0.000106797
69,83.0082,0.95147,0.56619,0.00359,0.71608,0.09286,0.08968,0.05542,1.99673,4.68538,0.01916,9.90625e-05,9.90625e-05,9.90625e-05
70,84.1521,0.89846,0.65683,0.00656,0.71404,0.09286,0.08978,0.05165,1.96522,4.66222,0.01867,9.13281e-05,9.13281e-05,9.13281e-05
71,85.3117,0.95778,0.58125,0.00426,0.71831,0.09286,0.08926,0.05226,1.91184,4.70412,0.01822,8.35938e-05,8.35938e-05,8.35938e-05
72,86.6427,0.81546,0.44655,0.00494,0.71772,0.09286,0.0884,0.05128,1.92225,4.76021,0.01894,7.58594e-05,7.58594e-05,7.58594e-05
73,87.778,0.79237,0.5249,0.00461,0.72277,0.09286,0.08905,0.05167,1.93413,4.78068,0.01917,6.8125e-05,6.8125e-05,6.8125e-05
74,88.9674,0.85735,0.55771,0.00639,0.72525,0.09286,0.08984,0.05214,1.96557,4.70967,0.02034,6.03906e-05,6.03906e-05,6.03906e-05
75,90.1232,1.03049,0.55336,0.0038,0.72366,0.09286,0.09211,0.0535,1.93552,4.71439,0.01929,5.26562e-05,5.26562e-05,5.26562e-05
76,91.3094,0.92146,0.56343,0.00508,0.7207,0.09286,0.09211,0.05248,1.94724,4.71421,0.01933,4.49219e-05,4.49219e-05,4.49219e-05
77,92.5026,0.98463,0.59968,0.00546,0.70776,0.09286,0.08607,0.04927,1.96772,4.67904,0.01953,3.71875e-05,3.71875e-05,3.71875e-05
78,93.5954,0.93882,0.47462,0.00313,0.69769,0.09286,0.08607,0.04927,1.93529,4.69112,0.01921,2.94531e-05,2.94531e-05,2.94531e-05
79,94.7177,0.7756,0.49959,0.00494,0.6989,0.09286,0.08508,0.04877,1.92946,4.68087,0.01902,2.17188e-05,2.17188e-05,2.17188e-05
80,95.8189,0.77592,0.48828,0.00397,0.69898,0.09286,0.08364,0.04875,1.92871,4.68478,0.01903,1.39844e-05,1.39844e-05,1.39844e-05
