epoch,time,train/Loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/Loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,6.49199,1.87064,0.08477,0.03571,0.04248,0.03823,0.94859,0.00114,0.00038,0.00114,0.00038,0.00114,0.00038,0.00114,0.00038
2,12.0498,2.05432,0.67643,0.03571,0.04248,0.03823,0.97059,0.00113832,0.00037944,0.00113832,0.00037944,0.00113832,0.00037944,0.00113832,0.00037944
3,16.5878,1.74464,0.03577,0.23571,0.05274,0.04747,0.98459,0.00113664,0.000378881,0.00113664,0.000378881,0.00113664,0.000378881,0.00113664,0.000378881
4,21.1947,1.70093,0.82281,0.06429,0.05823,0.0517,1.01119,0.00113496,0.000378321,0.00113496,0.000378321,0.00113496,0.000378321,0.00113496,0.000378321
5,25.7778,1.50054,0.85038,0.09093,0.06171,0.05475,1.01405,0.00113328,0.000377762,0.00113328,0.000377762,0.00113328,0.000377762,0.00113328,0.000377762
6,29.8945,1.39583,0.87114,0.09286,0.06217,0.05558,1.02434,0.00113161,0.000377202,0.00113161,0.000377202,0.00113161,0.000377202,0.00113161,0.000377202
7,34.3314,1.25565,0.8925,0.09286,0.20071,0.15079,1.03287,0.00112993,0.000376642,0.00112993,0.000376642,0.00112993,0.000376642,0.00112993,0.000376642
8,38.7773,1.38099,0.91794,0.09286,0.20982,0.15993,1.02364,0.00112825,0.000376083,0.00112825,0.000376083,0.00112825,0.000376083,0.00112825,0.000376083
9,43.3527,1.13104,0.90148,0.09286,0.21616,0.16682,1.00586,0.00112657,0.000375523,0.00112657,0.000375523,0.00112657,0.000375523,0.00112657,0.000375523
10,47.3436,1.09673,0.86389,0.09286,0.21553,0.16604,1.0292,0.00112489,0.000374964,0.00112489,0.000374964,0.00112489,0.000374964,0.00112489,0.000374964
11,51.4796,0.95986,0.63458,0.09286,0.21949,0.16559,1.04179,0.00112321,0.000374404,0.00112321,0.000374404,0.00112321,0.000374404,0.00112321,0.000374404
12,56.1066,1.02674,0.61593,0.23571,0.221,0.16702,1.0837,0.00112153,0.000373844,0.00112153,0.000373844,0.00112153,0.000373844,0.00112153,0.000373844
13,60.8065,1.20464,0.59107,0.23571,0.22209,0.16815,1.10668,0.00111985,0.000373285,0.00111985,0.000373285,0.00111985,0.000373285,0.00111985,0.000373285
