epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,115.881,1.8218,4.21008,0.00543,0.6323,0.16285,0.16783,0.10196,1.71903,2.28166,0.00661,0.0099734,0.00332447,0.0099734,0.00332447,0.0099734,0.00332447,0.0099734,0.00332447
2,214.514,1.79807,2.34121,0.0054,0.58207,0.32478,0.347,0.18877,1.79672,1.75763,0.00704,0.0197262,0.00657541,0.0197262,0.00657541,0.0197262,0.00657541,0.0197262,0.00657541
3,310.33,1.83172,1.93603,0.00565,0.476,0.37209,0.3584,0.16599,1.84465,1.83659,0.00724,0.0292316,0.00974385,0.0292316,0.00974385,0.0292316,0.00974385,0.0292316,0.00974385
4,406.645,1.84323,1.85092,0.00579,0.50752,0.35181,0.36187,0.17945,1.85468,1.79924,0.00739,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875
5,499.994,1.85643,1.80542,0.00572,0.55225,0.39901,0.36855,0.19274,1.82841,1.72472,0.00742,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
6,593.842,1.88121,1.73596,0.00575,0.52971,0.3798,0.37101,0.1921,1.835,1.73846,0.00771,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125
7,687.293,1.83158,1.64358,0.00564,0.59035,0.43177,0.41255,0.2003,1.85466,1.64013,0.00742,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
8,780.801,1.82985,1.59885,0.00562,0.60728,0.40062,0.37813,0.20151,1.797,1.63264,0.00729,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375
9,874.764,1.81866,1.55338,0.0056,0.66807,0.40481,0.40562,0.20806,1.83801,1.60812,0.00761,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
10,973.005,1.81027,1.54766,0.00548,0.61508,0.42292,0.42427,0.23124,1.77949,1.68805,0.00735,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625
11,1067.33,1.78522,1.4622,0.00527,0.53966,0.44339,0.44124,0.23984,1.78948,1.56426,0.00714,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
12,1162.07,1.75504,1.42459,0.00556,0.53323,0.47697,0.46499,0.26017,1.76267,1.53894,0.00716,0.0259163,0.00863875,0.0259163,0.00863875,0.0259163,0.00863875,0.0259163,0.00863875
13,1257.5,1.76235,1.39758,0.00526,0.68409,0.4511,0.50929,0.28173,1.76886,1.53467,0.00714,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
14,1355.22,1.75584,1.38979,0.00529,0.58749,0.49357,0.47643,0.25076,1.75725,1.62763,0.007,0.0251737,0.00839125,0.0251737,0.00839125,0.0251737,0.00839125,0.0251737,0.00839125
15,1451.54,1.74069,1.37744,0.00525,0.59573,0.49176,0.50349,0.27425,1.74686,1.47009,0.00686,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
