epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,2917.93,1.64649,1.1061,0.00462,0.72318,0.53396,0.55452,0.31966,1.73091,1.40769,0.0069,0.0192337,0.00641125,0.0192337,0.00641125,0.0192337,0.00641125,0.0192337,0.00641125
31,3008.89,1.61578,1.1067,0.00463,0.74145,0.53102,0.56885,0.3263,1.724,1.39058,0.00694,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
32,3100.17,1.62007,1.07998,0.00456,0.74137,0.514,0.55634,0.31195,1.71078,1.42606,0.00674,0.0184913,0.00616375,0.0184913,0.00616375,0.0184913,0.00616375,0.0184913,0.00616375
33,3191.76,1.59737,1.04363,0.00455,0.72351,0.52996,0.54374,0.29731,1.75072,1.4291,0.00698,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
34,3283.4,1.59802,1.05166,0.00438,0.71901,0.50206,0.53901,0.30734,1.73025,1.40191,0.00682,0.0177488,0.00591625,0.0177488,0.00591625,0.0177488,0.00591625,0.0177488,0.00591625
35,3374.69,1.56986,1.04267,0.00447,0.73875,0.51051,0.55939,0.32291,1.7194,1.3704,0.00674,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
36,3466.99,1.54171,1.00914,0.00448,0.7297,0.54037,0.57078,0.33804,1.68811,1.42824,0.00674,0.0170063,0.00566875,0.0170063,0.00566875,0.0170063,0.00566875,0.0170063,0.00566875
37,3558.86,1.55776,1.00542,0.00444,0.74397,0.55497,0.57023,0.31954,1.68523,1.40516,0.0067,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
38,3650.73,1.5664,1.01539,0.00442,0.76404,0.52358,0.55883,0.30664,1.72649,1.44044,0.00663,0.0162637,0.00542125,0.0162637,0.00542125,0.0162637,0.00542125,0.0162637,0.00542125
39,3742.65,1.5728,1.00841,0.00432,0.75185,0.54851,0.58631,0.3451,1.69134,1.36244,0.00662,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
