epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.15571,1.4635,4.07522,0.00842,0.47136,0.14286,0.21321,0.20611,0.74845,3.79534,0.00555,0.000625,0.000625,0.000625
2,1.98106,1.7823,3.3056,0.00939,0.01931,0.42381,0.06186,0.04011,1.26736,3.26388,0.0123,0.000617266,0.000617266,0.000617266
3,2.93163,1.76632,2.95182,0.0129,0.50554,0.12143,0.16132,0.08736,1.57897,3.35194,0.01626,0.000609531,0.000609531,0.000609531
4,4.00327,1.93223,2.73691,0.01075,0.47407,0.1119,0.11667,0.054,1.8994,3.49156,0.01607,0.000601797,0.000601797,0.000601797
5,5.01415,1.87503,2.30326,0.01174,0.6854,0.03571,0.0538,0.02609,2.1779,3.94214,0.02004,0.000594062,0.000594062,0.000594062
6,5.96155,1.87045,2.23773,0.01126,0.67699,0.03571,0.03977,0.02711,2.27936,3.89278,0.02219,0.000586328,0.000586328,0.000586328
7,6.93718,1.94489,2.52575,0.01459,0.70213,0.03571,0.03699,0.02899,2.56633,4.28703,0.03018,0.000578594,0.000578594,0.000578594
8,7.94331,1.78295,2.24662,0.01278,0.70257,0.03571,0.03886,0.03316,2.78264,4.39335,0.03066,0.000570859,0.000570859,0.000570859
9,8.89986,1.60071,1.76192,0.01002,0.41049,0.08249,0.05436,0.03639,2.64115,3.97241,0.0348,0.000563125,0.000563125,0.000563125
10,9.95186,1.66806,1.7768,0.00897,0.25914,0.06429,0.05248,0.02931,2.47799,4.38331,0.03013,0.000555391,0.000555391,0.000555391
11,10.9147,1.82512,1.71646,0.012,0.0719,0.1,0.05702,0.03508,2.6872,4.32241,0.03816,0.000547656,0.000547656,0.000547656
12,11.8769,1.62428,1.50238,0.00918,0.09195,0.06429,0.03902,0.03114,2.41171,4.68243,0.03036,0.000539922,0.000539922,0.000539922
13,12.8542,1.50651,1.44837,0.00762,0.11529,0.06429,0.0407,0.02884,2.31502,4.20833,0.0291,0.000532187,0.000532187,0.000532187
14,13.8029,1.49952,1.37965,0.00855,0.10915,0.06429,0.04196,0.03357,2.23897,4.10986,0.0301,0.000524453,0.000524453,0.000524453
15,14.7533,1.36472,1.48337,0.00839,0.54529,0.06429,0.05235,0.03902,2.23036,3.70333,0.02851,0.000516719,0.000516719,0.000516719
16,15.6911,1.42805,1.47673,0.0123,0.31193,0.09286,0.0869,0.0429,2.29395,3.93496,0.03048,0.000508984,0.000508984,0.000508984
17,16.7701,1.55908,1.48932,0.01073,0.1293,0.06429,0.04444,0.03359,2.27301,4.18573,0.02538,0.00050125,0.00050125,0.00050125
18,17.7953,1.60434,1.32147,0.00897,0.48331,0.06429,0.05839,0.0432,1.89371,4.23426,0.02098,0.000493516,0.000493516,0.000493516
19,18.7779,1.50063,1.34886,0.01092,0.59543,0.06429,0.05431,0.04243,1.9187,4.06672,0.02002,0.000485781,0.000485781,0.000485781
20,19.7377,1.37287,1.599,0.00817,0.36819,0.06429,0.05737,0.04077,1.87283,3.84187,0.02208,0.000478047,0.000478047,0.000478047
21,20.7014,1.33094,1.43801,0.00812,0.42207,0.06429,0.05787,0.04542,1.84149,3.73271,0.01872,0.000470312,0.000470312,0.000470312
22,21.6793,1.14185,1.03378,0.00524,0.57524,0.06429,0.07622,0.05415,2.00959,3.82501,0.02039,0.000462578,0.000462578,0.000462578
23,22.7399,1.37581,1.31546,0.00875,0.56679,0.06429,0.07641,0.0549,2.0492,3.75209,0.02071,0.000454844,0.000454844,0.000454844
24,23.6933,1.28228,1.22706,0.00621,0.3578,0.06429,0.02699,0.01867,2.05782,4.68417,0.02444,0.000447109,0.000447109,0.000447109
25,24.6532,1.18761,1.04979,0.00831,0.6957,0.06429,0.05419,0.03932,2.0768,4.31701,0.02579,0.000439375,0.000439375,0.000439375
26,25.6173,1.34229,1.07293,0.00826,0.75905,0.08227,0.10973,0.06562,2.02365,3.7143,0.02284,0.000431641,0.000431641,0.000431641
