epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,41.3001,1.0732,0.7582,0.00544,0.79006,0.06429,0.06663,0.04146,1.89048,4.02412,0.01843,0.000307891,0.000307891,0.000307891
43,42.2624,1.02424,0.78229,0.00618,0.76345,0.06429,0.06603,0.04728,1.9281,4.28868,0.01871,0.000300156,0.000300156,0.000300156
44,43.306,0.95178,0.81748,0.00613,0.81189,0.06429,0.06464,0.04346,1.82197,4.19075,0.01753,0.000292422,0.000292422,0.000292422
45,44.2335,0.97172,0.73098,0.00557,0.79865,0.06429,0.06597,0.04162,1.723,4.12365,0.0164,0.000284688,0.000284688,0.000284688
46,45.2062,0.95273,0.75793,0.0056,0.76996,0.06429,0.06852,0.03625,1.69468,3.97745,0.01642,0.000276953,0.000276953,0.000276953
47,46.1454,1.00678,0.77738,0.00691,0.79535,0.06429,0.07026,0.04041,1.69257,3.97792,0.01676,0.000269219,0.000269219,0.000269219
48,47.1032,1.1089,0.78746,0.00859,0.83019,0.06429,0.06942,0.03982,1.78345,3.98526,0.01745,0.000261484,0.000261484,0.000261484
49,48.0406,0.95319,0.67235,0.00481,0.83428,0.06429,0.07134,0.04123,1.78827,3.9842,0.01642,0.00025375,0.00025375,0.00025375
50,48.989,0.95117,0.66726,0.00458,0.82165,0.06429,0.07085,0.04416,1.68558,3.99696,0.01506,0.000246016,0.000246016,0.000246016
51,50.0495,0.97276,0.7472,0.00527,0.81425,0.06429,0.07081,0.0396,1.64857,3.99725,0.01419,0.000238281,0.000238281,0.000238281
52,51.0261,0.81036,0.66406,0.00475,0.8148,0.06429,0.0679,0.04162,1.66802,3.96343,0.01357,0.000230547,0.000230547,0.000230547
53,51.9742,0.94083,0.68879,0.00575,0.8263,0.06429,0.07132,0.04588,1.64518,3.884,0.01343,0.000222813,0.000222813,0.000222813
